"SUID","AverageShortestPathLength","BetweennessCentrality","Chromosome Name","chromosome_name","ClosenessCentrality","ClusteringCoefficient","Column 1","Column 3","Drug(s)","Eccentricity","Entrez Gene Name","Exp False Discovery Rate (q-value)","Exp Log Ratio","Exp p-value","ID","IsSingleNode","Location","name","NeighborhoodConnectivity","Node Degree","NombreCromosoma","Notes","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","Symbol","TF","TopologicalCoefficient","Type(s)"
"37461","6.17647059","0.0","19",,"0.16190476","0.0","","","","11","alpha-1-B glycoprotein","1.0","0.478","0.684","1","false","Extracellular Space","A1BG","2.0","1","19","","1","0","0","0.52941176","true","0","A1BG","0","",,"0.0","other"
"37462","5.20588235","0.05882353","19",,"0.1920904","0.0","","","","10","A1BG antisense RNA 1","1.0","0.218","1.0","503538","false","Other","A1BG-AS1","2.0","2","19","","2","0","0","0.61764706","true","0","A1BG-AS1","340","",,"0.5","other"
"37463","4.29411765","0.114082","19","19","0.23287671","0.33333333","","","","9","zinc finger protein 497","1.0","0.141","1.0","162968","false","Nucleus","ZNF497","6.0","3","19","","3","0","0","0.70053476","true","0","ZNF497","676","",,"0.51515152","other"
"37464","1.0","0.0","12",,"1.0","0.0","","","","1","achalasia, adrenocortical insufficiency, alacrimia","1.0","0.082","1.0","8086","false","Nucleus","AAAS","1.0","1","12","","1","0","0","1.0","true","0","AAAS","0","",,"0.0","other"
"37465","1.0","0.0","12",,"1.0","0.0","","","","1","chromosome 12 open reading frame 10","1.0","-0.039","1.0","60314","false","Nucleus","C12orf10","1.0","1","12","","1","0","0","1.0","true","0","C12orf10","0","",,"0.0","other"
"20418","7.30880608","0.00200701","15",,"0.13682125","0.0","","","","15","alpha- and gamma-adaptin binding protein","3.71E-22","0.854","3.83E-23","79719","false","Cytoplasm","AAGAB","2.66666667","1","15","","3","0","0","0.71323609","true","0","AAGAB","271036","",,"0.33333333","other"
"23685","5.90363162","7.9176E-4","15",,"0.16938726","0.0","","","","15","mitogen-activated protein kinase kinase 5","1.0","-0.046","1.0","5607","false","Cytoplasm","MAP2K5","5.25","2","15","","4","0","0","0.77710765","true","0","MAP2K5","105416","",,"0.25","kinase"
"20425","6.69404225","0.0","11",,"0.14938657","0.0","","","","16","adipogenesis associated, Mth938 domain containing","1.0","-0.222","1.0","28971","false","Cytoplasm","AAMDC","3.0","7","11","","1","0","0","0.7411799","true","0","AAMDC","0","",,"0.0","other"
"24617","5.79681937","2.57E-6","11",,"0.17250839","0.66666667","","","","16","potassium channel tetramerization domain containing 21","1.0","0.206","1.0","283219","false","Other","KCTD21","28.33333333","9","11","","3","0","0","0.78196276","true","0","KCTD21","1176","",,"0.42929293","other"
"21167","6.895324","0.00237135","11",,"0.14502582","0.0","","","","16","ALG8, alpha-1,3-glucosyltransferase","0.183","0.614","0.0529","79053","false","Cytoplasm","ALG8","4.0","10","11","","2","0","0","0.73203073","true","0","ALG8","322020","",,"0.5","enzyme"
"37466","3.48648649","0.00418835","11",,"0.28682171","0.83333333","","","","7","asparaginyl-tRNA synthetase 2, mitochondrial (putative)","1.0","0.487","0.576","79731","false","Cytoplasm","NARS2","9.22222222","9","11","","9","0","0","0.64478764","true","0","NARS2","54","",,"0.70940171","enzyme"
"22998","8.89223831","0.0","11",,"0.11245762","1.0","","","","18","integrator complex subunit 4","1.0","0.458","0.75","92105","false","Nucleus","INTS4","3.5","11","11","","2","0","0","0.6412619","true","0","INTS4","0","",,"0.7","other"
"21168","7.89318775","0.00189753","11",,"0.12669153","0.33333333","","","","17","NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa","1.0","0.41","0.934","4718","false","Cytoplasm","NDUFC2","2.66666667","11","11","","3","0","0","0.68667328","true","0","NDUFC2","257624","",,"0.46666667","enzyme"
"22995","8.89176359","9.4933E-4","11",,"0.11246363","0.16666667","","","","18","chloride channel, nucleotide-sensitive, 1A","9.8E-5","0.772","2.08E-5","1207","false","Plasma Membrane","CLNS1A","1.75","12","11","","4","0","0","0.64128347","true","0","CLNS1A","128822","",,"0.41666667","ion channel"
"22996","9.89152623","0.0","11",,"0.10109663","0.0","","","","19","remodeling and spacing factor 1","1.0","0.31","0.999","51773","false","Nucleus","RSF1","4.0","11","11","","1","0","0","0.59583972","true","0","RSF1","0","",,"0.0","transcription regulator"
"37467","1.75","0.25","2",,"0.57142857","0.33333333","","","","3","cyclin Pas1/PHO80 domain containing 1","1.0","0.099","1.0","27013","false","Other","CNPPD1","3.33333333","3","2","","3","0","0","0.8125","true","0","CNPPD1","20","",,"0.5","other"
"20427","5.9223831","1.74E-5","2",,"0.16885095","0.6","","","","14","angio-associated, migratory cell protein","1.0","0.156","1.0","14","false","Plasma Membrane","AAMP","25.0","3","2","","6","0","0","0.77625531","true","0","AAMP","6944","",,"0.29411765","other"
"25479","6.66033705","1.9291E-4","2","2","0.15014255","0.66666667","","","","16","ubiquitin specific peptidase 37","0.0306","0.583","0.00799","57695","false","Nucleus","USP37","8.33333333","4","2","","3","0","0","0.74271195","true","0","USP37","39568","",,"0.41666667","peptidase"
"23860","6.05981486","0.0","2",,"0.16502154","0.0","","","","14","family with sequence similarity 134, member A","1.0","0.069","1.0","79137","false","Other","FAM134A","17.0","6","2","","1","0","0","0.77000842","true","0","FAM134A","0","",,"0.0","other"
"37468","3.07142857","0.55555556","20",,"0.3255814","0.04761905","","","","8","AAR2 splicing factor homolog","1.0","0.179","1.0","25980","false","Other","AAR2","2.28571429","7","20","","7","0","0","0.81168831","true","0","AAR2","840","",,"0.19642857","other"
"25031","5.40469974","0.00547788","20",,"0.18502415","0.0","","","","14","regulation of nuclear pre-mRNA domain containing 1B","1.0","0.31","1.0","58490","false","Nucleus","RPRD1B","12.75","4","20","","4","0","0","0.79978638","true","0","RPRD1B","848300","",,"0.26704545","other"
"23095","5.44600047","0.00143262","20",,"0.18362099","0.0","","","","14","transient receptor potential cation channel, subfamily C, member 4 associated protein","1.0","0.203","1.0","26133","false","Cytoplasm","TRPC4AP","11.0","3","20","","6","0","0","0.79790907","true","0","TRPC4AP","266598","",,"0.17857143","transporter"
