"SUID","AverageShortestPathLength","BetweennessCentrality","Chromosome Name","chromosome_name","ClosenessCentrality","ClusteringCoefficient","Drug(s)","Eccentricity","Entrez Gene Name","Exp False Discovery Rate (q-value)","Exp Log Ratio","Exp p-value","ID","IsSingleNode","Location","name","NeighborhoodConnectivity","Node Degree","NombreCromosoma","Notes","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","Symbol","TopologicalCoefficient","Type(s)"
"20405","6.03987657","0.0","12","12","0.1655663","0.0","","14","alpha-2-macroglobulin","1.15E-11","-0.95","1.71E-12","2","false","Extracellular Space","A2M","9.0","1","12","","1","0","0","0.7709147","true","0","A2M","0","","0.0","transporter"
"20406","5.04011393","0.00230949","3","3","0.19840821","0.16666667","","13","choline dehydrogenase","1.0","-0.048","1.0","55349","false","Cytoplasm","CHDH","21.0","1","3","","9","0","0","0.81635846","true","0","CHDH","454814","","0.14452214","enzyme"
"20407","5.75338239","0.00230683","12",,"0.1738108","0.17777778","","14","acetoacetyl-CoA synthetase","1.0","-0.232","1.0","65985","false","Cytoplasm","AACS","10.4","10","12","","10","0","0","0.78393716","true","0","AACS","274444","","0.14925373","enzyme"
"20408","5.64134821","0.00160209","2",,"0.17726259","0.2","","14","diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)","1.0","-0.098","1.0","1622","false","Cytoplasm","DBI","11.6","5","2","","5","0","0","0.78902963","true","0","DBI","198718","","0.24347826","other"
"20409","6.15119867","0.00224687","1",,"0.16256994","0.0","","14","mitochondrial amidoxime reducing component 2","5.38E-5","-0.805","1.12E-5","54996","false","Cytoplasm","MARC2","9.75","4","1","","4","0","0","0.76585461","true","0","MARC2","202652","","0.25735294","enzyme"
"20410","6.14526466","1.7624E-4","X",,"0.16272692","0.5","","14","glucose-6-phosphate dehydrogenase","1.0","0.436","0.908","2539","false","Cytoplasm","G6PD","11.75","4","X","","4","0","0","0.76612433","true","0","G6PD","17376","","0.359375","enzyme"
"20411","6.21671018","3.5877E-4","10",,"0.16085678","0.3","","14","isopentenyl-diphosphate delta isomerase 1","1.0","0.226","1.0","3422","false","Cytoplasm","IDI1","6.6","5","10","","5","0","0","0.76287681","true","0","IDI1","34176","","0.27826087","enzyme"
"20412","5.91431284","0.00164387","19",,"0.16908135","0.17857143","","15","branched chain amino-acid transaminase 2, mitochondrial","1.0","0.37","0.997","587","false","Cytoplasm","BCAT2","9.625","8","19","","8","0","0","0.77662214","true","0","BCAT2","247816","","0.17788462","enzyme"
"20413","6.75314503","0.0","11",,"0.14807915","0.0","","15","tetratricopeptide repeat domain 36","1.0","-0.416","0.795","143941","false","Other","TTC36","10.0","1","11","","1","0","0","0.73849341","true","0","TTC36","0","","0.0","other"
"20414","5.86826489","0.00293078","17",,"0.17040812","0.2","TVB-2640, orlistat, cerulenin","14","fatty acid synthase","1.0","-0.07","1.0","2194","false","Cytoplasm","FASN","10.9","1","17","","10","0","0","0.77871523","true","0","FASN","433150","","0.15671642","enzyme"
